FIPS_STATE,FIPS_COUNTY,FIPS_PLACE
34,1,99001
34,1,100
34,1,2080
34,1,7810
34,1,8680
34,1,15160
34,1,20350
34,1,21870
34,1,23940
34,1,29430
34,1,40530
34,1,41370
34,1,43890
34,1,52950
34,1,59640
34,1,60600
34,1,68430
34,1,75620
34,1,8710
34,1,20290
34,1,25560
34,1,29280
34,1,49410
34,1,80330
34,3,99003
34,3,700
34,3,1090
34,3,5170
34,3,6490
34,3,10480
34,3,13570
34,3,13810
34,3,15820
34,3,17530
34,3,18400
34,3,21300
34,3,19510
34,3,20020
34,3,21450
34,3,21480
34,3,21510
34,3,22470
34,3,22560
34,3,24420
34,3,24990
34,3,25770
34,3,26640
34,3,28680
34,3,30150
34,3,30420
34,3,30540
34,3,31920
34,3,32310
34,3,40020
34,3,40680
34,3,41100
34,3,44880
34,3,46110
34,3,47610
34,3,47700
34,3,51660
34,3,52320
34,3,53430
34,3,53610
34,3,53850
34,3,54870
34,3,54990
34,3,55770
34,3,55950
34,3,56130
34,3,61680
34,3,62910
34,3,62940
34,3,63000
34,3,63360
34,3,64170
34,3,65280
34,3,65400
34,3,72420
34,3,72480
34,3,75140
34,3,76400
34,3,76490
34,3,80270
34,3,82300
34,3,82570
34,3,42090
34,3,42750
34,3,63690
34,3,63990
34,3,65340
34,3,68970
34,3,72360
34,3,77135
34,3,83050
34,5,99005
34,5,5740
34,5,6670
34,5,8920
34,5,23250
34,5,45210
34,5,55800
34,5,57480
34,5,63660
34,5,82960
34,5,3370
34,5,6700
34,5,8950
34,5,12670
34,5,12940
34,5,17080
34,5,17440
34,5,18790
34,5,20050
34,5,22110
34,5,23850
34,5,29010
34,5,42060
34,5,43290
34,5,43740
34,5,45120
34,5,47880
34,5,48900
34,5,49020
34,5,51510
34,5,53070
34,5,57510
34,5,63510
34,5,66810
34,5,68610
34,5,69990
34,5,72060
34,5,77150
34,5,78200
34,5,81440
34,5,82420
34,7,99007
34,7,2200
34,7,2230
34,7,3250
34,7,4750
34,7,5440
34,7,8170
34,7,10000
34,7,12550
34,7,13420
34,7,14260
34,7,26070
34,7,26820
34,7,28770
34,7,28800
34,7,32220
34,7,39210
34,7,39420
34,7,40440
34,7,42630
34,7,45510
34,7,48750
34,7,53880
34,7,58770
34,7,58920
34,7,65160
34,7,68340
34,7,71220
34,7,72240
34,7,82450
34,7,5470
34,7,12280
34,7,26760
34,7,28740
34,7,57660
34,7,76220
34,7,77630
34,7,81740
34,9,99009
34,9,2320
34,9,10270
34,9,10330
34,9,53490
34,9,54360
34,9,66390
34,9,71010
34,9,78530
34,9,80210
34,9,81170
34,9,81200
34,9,81890
34,9,17560
34,9,41610
34,9,45810
34,9,74810
34,11,99011
34,11,7600
34,11,46680
34,11,67020
34,11,76070
34,11,14710
34,11,16900
34,11,18220
34,11,22350
34,11,28170
34,11,33120
34,11,39450
34,11,44580
34,11,71160
34,11,74870
34,13,99013
34,13,9250
34,13,19390
34,13,21840
34,13,26610
34,13,51000
34,13,52620
34,13,64590
34,13,11200
34,13,40890
34,13,43800
34,13,46380
34,13,69274
34,13,22385
34,13,47500
34,13,79800
34,13,53680
34,13,78510
34,13,4695
34,13,75815
34,13,6260
34,13,34450
34,13,13045
34,15,99015
34,15,13360
