"02020","ANCHORAGE CITY AND BOROUGH","MUNICIPALITY OF ANCHORAGE","AK"
"04013","MARICOPA","COUNTY OF MARICOPA","AZ"
"06039","MADERA","COUNTY OF MADERA","CA"
"06099","STANISLAUS","COUNTY OF STANISLAUS","CA"
"06075","SAN FRANCISCO","CITY AND COUNTY OF SAN FRANCISCO","CA"
"06029","KERN","COUNTY OF KERN","CA"
"06073","SAN DIEGO","COUNTY OF SAN DIEGO","CA"
"08031","DENVER","CITY AND COUNTY OF DENVER","CO"
"08014","BROOMFIELD","CITY AND COUNTY OF BROOMFIELD","CO"
"12011","BROWARD","COUNTY OF BROWARD","FL"
"12043","GLADES","COUNTY OF GLADES","FL"
"12015","CHARLOTTE","COUNTY OF CHARLOTTE","FL"
"12057","HILLSBOROUGH","COUNTY OF HILLSBOROUGH","FL"
"12101","PASCO","COUNTY OF PASCO","FL"
"12053","HERNANDO","COUNTY OF HERNANDO","FL"
"12017","CITRUS","COUNTY OF CITRUS","FL"
"12071","LEE","COUNTY OF LEE","FL"
"12073","LEON","COUNTY OF LEON","FL"
"12103","PINELLAS","COUNTY OF PINELLAS","FL"
"12019","CLAY","COUNTY OF CLAY","FL"
"12086","MIAMI-DADE","COUNTY OF MIAMI-DADE","FL"
"12095","ORANGE","COUNTY OF ORANGE","FL"
"13127","GLYNN","COUNTY OF GLYNN","GA"
"13193","MACON","COUNTY OF MACON","GA"
"13089","DEKALB","COUNTY OF DEKALB","GA"
"13135","GWINNETT","COUNTY OF GWINNETT","GA"
"13245","RICHMOND","CONSOLIDATED GOVERNMENT OF AUGUSTA-RICHMOND COUNTY","GA"
"13153","HOUSTON","COUNTY OF HOUSTON","GA"
"13295","WALKER","COUNTY OF WALKER","GA"
"15003","HONOLULU CITY AND COUNTY","CITY AND COUNTY OF HONOLULU","HI"
"17089","KANE","COUNTY OF KANE","IL"
"17099","LASALLE","COUNTY OF LASALLE","IL"
"17031","COOK","COUNTY OF COOK","IL"
"18179","WELLS","COUNTY OF WELLS","IN"
"21111","JEFFERSON","METRO GOVERNMENT OF LOUISVILLE-JEFFERSON COUNTY","KY"
"21151","MADISON","COUNTY OF MADISON","KY"
"21223","TRIMBLE","COUNTY OF TRIMBLE","KY"
"21225","UNION","COUNTY OF UNION","KY"
"21067","FAYETTE","URBAN COUNTY GOVERNMENT OF LEXINGTON-FAYETTE","KY"
"22033","EAST BATON ROUGE","CITY-PARISH OF BATON ROUGE-EAST BATON ROUGE","LA"
"24027","HOWARD","COUNTY OF HOWARD","MD"
"41011","COOS","COUNTY OF COOS","OR"
"41029","JACKSON","COUNTY OF JACKSON","OR"
"42007","BEAVER","COUNTY OF BEAVER","PA"
"47037","DAVIDSON","METROPOLITAN GOVERNMENT OF NASHVILLE-DAVIDSON COUNTY","TN"
"51013","ARLINGTON","COUNTY OF ARLINGTON","VA"
