"02020","ANCHORAGE CITY AND BOROUGH","MUNICIPALITY OF ANCHORAGE","AK"
"04012","LA PAZ","COUNTY OF LA PAZ","AZ"
"04013","MARICOPA","COUNTY OF MARICOPA","AZ"
"04025","YAVAPAI","COUNTY OF YAVAPAI","AZ"
"06009","CALAVERAS","COUNTY OF CALAVERAS","CA"
"06029","KERN","COUNTY OF KERN","CA"
"06039","MADERA","COUNTY OF MADERA","CA"
"06065","RIVERSIDE","COUNTY OF RIVERSIDE","CA"
"06073","SAN DIEGO","COUNTY OF SAN DIEGO","CA"
"06075","SAN FRANCISCO","CITY AND COUNTY OF SAN FRANCISCO","CA"
"06099","STANISLAUS","COUNTY OF STANISLAUS","CA"
"08031","DENVER","CITY AND COUNTY OF DENVER","CO"
"08059","JEFFERSON","COUNTY OF JEFFERSON","CO"
"10003","NEW CASTLE","COUNTY OF NEW CASTLE","DE"
"12007","BRADFORD","COUNTY OF BRADFORD","FL"
"12011","BROWARD","COUNTY OF BROWARD","FL"
"12015","CHARLOTTE","COUNTY OF CHARLOTTE","FL"
"12017","CITRUS","COUNTY OF CITRUS","FL"
"12019","CLAY","COUNTY OF CLAY","FL"
"12043","GLADES","COUNTY OF GLADES","FL"
"12053","HERNANDO","COUNTY OF HERNANDO","FL"
"12057","HILLSBOROUGH","COUNTY OF HILLSBOROUGH","FL"
"12071","LEE","COUNTY OF LEE","FL"
"12073","LEON","COUNTY OF LEON","FL"
"12081","MANATEE","COUNTY OF MANATEE","FL"
"12083","MARION","COUNTY OF MARION","FL"
"12099","PALM BEACH","COUNTY OF PALM BEACH","FL"
"12101","PASCO","COUNTY OF PASCO","FL"
"12103","PINELLAS","COUNTY OF PINELLAS","FL"
"12117","SEMINOLE","COUNTY OF SEMINOLE","FL"
"13015","BARTOW","COUNTY OF BARTOW","GA"
"13035","BUTTS","COUNTY OF BUTTS","GA"
"13089","DEKALB","COUNTY OF DEKALB","GA"
"13113","FAYETTE","COUNTY OF FAYETTE","GA"
"13121","FULTON","COUNTY OF FULTON","GA"
"13127","GLYNN","COUNTY OF GLYNN","GA"
"13135","GWINNETT","COUNTY OF GWINNETT","GA"
"13139","HALL","COUNTY OF HALL","GA"
"13193","MACON","COUNTY OF MACON","GA"
"13021","BIBB","COUNTY OF MACON-BIBB","GA"
"13211","MORGAN","COUNTY OF MORGAN","GA"
"13247","ROCKDALE","COUNTY OF ROCKDALE","GA"
"13285","TROUP","COUNTY OF TROUP","GA"
"17031","COOK","COUNTY OF COOK","IL"
"17089","KANE","COUNTY OF KANE","IL"
"17099","LASALLE","COUNTY OF LASALLE","IL"
"20209","WYANDOTTE","UNIFIED GOVERNMENT OF WYANDOTTE COUNTY AND KANSAS CITY","KS"
"21117","KENTON","COUNTY OF KENTON","KY"
"21151","MADISON","COUNTY OF MADISON","KY"
"21223","TRIMBLE","COUNTY OF TRIMBLE","KY"
"21225","UNION","COUNTY OF UNION","KY"
"24031","MONTGOMERY","COUNTY OF MONTGOMERY","MD"
"24033","PRINCE GEORGES","COUNTY OF PRINCE GEORGES","MD"
"30023","DEER LODGE","COUNTY OF ANACONDA-DEER LODGE","MT"
"30093","SILVER BOW","CITY AND COUNTY OF BUTTE-SILVER BOW","MT"
"34001","ATLANTIC","COUNTY OF ATLANTIC","NJ"
"32003","CLARK","COUNTY OF CLARK","NV"
"39017","BUTLER","COUNTY OF BUTLER","OH"
"39025","CLERMONT","COUNTY OF CLERMONT","OH"
"39035","CUYAHOGA","COUNTY OF CUYAHOGA","OH"
"39061","HAMILTON","COUNTY OF HAMILTON","OH"
"39085","LAKE","COUNTY OF LAKE","OH"
"39093","LORAIN","COUNTY OF LORAIN","OH"
"39095","LUCAS","COUNTY OF LUCAS","OH"
"39099","MAHONING","COUNTY OF MAHONING","OH"
"39113","MONTGOMERY","COUNTY OF MONTGOMERY","OH"
"39151","STARK","COUNTY OF STARK","OH"
"39153","SUMMIT","COUNTY OF SUMMIT","OH"
"39155","TRUMBULL","COUNTY OF TRUMBULL","OH"
"39165","WARREN","COUNTY OF WARREN","OH"
"41011","COOS","COUNTY OF COOS","OR"
"41029","JACKSON","COUNTY OF JACKSON","OR"
